STATION,LINENAME,Checked
GRD CNTRL-42 ST,4567S,yes
34 ST-HERALD SQ,BDFMNQRW,yes
42 ST-PORT AUTH,ACENQRS1237W,yes
34 ST-PENN STA,ACE,yes
TIMES SQ-42 ST,1237ACENQRSW,yes
14 ST-UNION SQ,LNQR456W,yes
FULTON ST,2345ACJZ,yes
47-50 STS ROCK,BDFM,yes
PATH NEW WTC,1,yes
FLUSHING-MAIN,7,yes
59 ST COLUMBUS,ABCD1,yes
72 ST,123,yes
CANAL ST,JNQRZ6W,yes
JKSN HT-ROOSVLT,EFMR7,yes
34 ST-PENN STA,123ACE,yes
42 ST-BRYANT PK,BDFM7,yes
W 4 ST-WASH SQ,ABCDEFM,yes
86 ST,456,yes
59 ST,456NQRW,yes
LEXINGTON AV/53,EM6,yes
34 ST-PENN STA,123,yes
96 ST,123,yes
WORLD TRADE CTR,ACE23,yes
BEDFORD AV,L,yes
14 ST-UNION SQ,456LNQRW,yes
JAMAICA CENTER,EJZ,yes
JOURNAL SQUARE,1,NO
57 ST-7 AV,NQRW,yes
125 ST,ACBD,yes
BOWLING GREEN,45,
